ATC_E53A76
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1707908663;23.59;61.72;2583
1707910465;23.51;60.89;2524
1707912268;23.41;60.12;2522
1707914070;23.15;64.17;2518
1707915872;22.8;71.93;2504
1707917674;23.21;68.75;2500
1707919477;23.29;65.56;2506
1707921276;23.19;62.44;2511
1707923081;23.17;60.62;2510
1707924883;23.22;59.74;2509
1707926686;23.24;58.88;2510
1707928488;23.25;58.31;2509
1707930290;23.27;58.04;2509
1707932092;23.28;57.77;2510
1707933895;23.48;57.97;2509
1707935697;23.75;57.66;2511
1707937499;23.69;57.39;2514
1707939301;23.55;57.69;2511
1707941104;23.48;57.76;2509
1707942906;23.36;57.8;2508
1707944708;22.76;57.32;2510
1707946510;22.42;61.15;2501
1707948313;21.35;82.59;2505
1707950112;20.93;80.98;2500
1707951917;20.86;80.13;2500
1707953719;20.84;78.6;2503
1707955521;20.83;76.58;2505
1707957324;20.81;74.99;2502
1707959126;20.81;73.64;2505
1707960928;20.82;72.56;2503
1707962731;20.81;71.76;2503
1707964533;20.82;71.61;2507
1707966335;20.83;71.3;2503
1707968137;20.83;71.36;2501
1707969940;20.84;71.26;2503
1707971742;20.84;70.94;2503
1707973544;20.83;70.74;2504
1707975344;20.82;70.67;2502
1707977149;20.81;70.55;2502
1707978948;20.78;71.6;2505
1707980753;20.49;73.08;2499
1707982555;20.63;70.14;2500
1707984358;20.63;69.33;2505
1707986160;20.96;68.01;2502
1707987960;21.37;66.9;2505
1707989764;21.73;66.07;2511
1707991564;21.82;64.93;2516
1707993369;21.85;64.09;2516
1707995171;21.92;63.4;2510
1707996973;22;62.72;2512
1707998776;22.08;62.19;2517
1708000578;22.19;61.79;2518
1708002378;22.29;61.61;2516
1708004182;22.57;61.26;2517
1708005985;22.58;61.1;2521
1708007787;22.52;60.93;2520
1708009589;22.53;60.72;2517
1708011391;22.57;60.51;2518
1708013194;22.59;60.03;2519
1708014996;22.64;59.82;2515
1708016798;22.68;59.74;2517
1708018600;22.73;59.7;2521
1708020403;22.9;59.4;2520
1708022205;23.2;59.16;2521
1708024007;23.15;59.05;2524
1708025809;22.98;58.99;2522
1708027611;22.89;58.93;2523
1708029414;22.78;58.86;2521
1708031216;22.16;58;2516
1708033018;21.91;58.29;2512
